caller_object,target_object,access_type
ZSD_ORDER_UNBLOCK,Z_STOCK_CORRECTION_V2,Call
Z_ORDER_ENRICH,SALES_ORDER_HEADER,Read
Z_LEGACY_MIG_10,FM_CO_CALC_1158,Call
Z_LEGACY_MIG_09,MATERIAL_MASTER,Read
STD_PO_CREATE,FINANCIAL_DOC_ITEM,Write
Z_STOCK_CORRECTION_V2,FM_FI_CALC_1192,Call
Z_LEGACY_MIG_02,FM_BC_READ_1105,Call
STD_COST_ALLOCATION,FINANCIAL_DOC_ITEM,Read
Z_ORDER_VALIDATE,FM_FI_CALC_1195,Call
Z_PICKLIST_OPT,PURCHASE_ORDER_HEADER,Read
Z_LEGACY_MIG_09,FM_SD_POST_1128,Call
ZFI_MASS_REVERSAL,FINANCIAL_DOC_ITEM,Write
Y_SHIPMENT_TRACKER,MATERIAL_MASTER,Read
Z_PRICE_OVERRIDE_V2,FM_CO_CALC_1061,Call
Y_INVOICE_MATCH_V2,ZT_CUSTOM_TABLE_05,Read
Y_INVOICE_MATCH_V2,FINANCIAL_DOC_HEADER,Read
Z_SEASONAL_PRICING,CUSTOMER_MASTER,Read
ZFM_HELPER_021,ZT_CUSTOM_TABLE_14,Write
Z_CUSTOMS_EXPORT,FM_FI_SET_1021,Call
Z_VENDOR_SCORECARD_V2,FINANCIAL_DOC_ITEM,Read
ZFM_HELPER_010,VENDOR_MASTER,Read
Z_LEGACY_MIG_06,FM_SD_GET_1184,Call
Zsd_Invoice_Check,FM_BC_CALC_1129,Call
Z_STOCK_CORRECTION_V2,FINANCIAL_DOC_HEADER,Read
ZFM_HELPER_020,Z_ORDER_ENRICH,Call
Z_ORDER_VALIDATE,DELIVERY_HEADER,Read
ZFI_CUSTOM_POST,STOCK_LEVELS,Read
Z_MASS_UPDATE_MAT_V2,FM_CO_CALC_1137,Call
Y_INVOICE_MATCH,FM_FI_GET_1168,Call
Z_STOCK_CORRECTION_V2,PRICING_CONDITIONS,Read
Y_SHIPMENT_TRACKER_V2,CUSTOMER_MASTER,Read
Z_EDI_MAP_CUST01_V2,COST_CENTER_POSTINGS,Read
ZFM_HELPER_013,DELIVERY_HEADER,Read
Y_EDI_MAP_CUST02,SALES_ORDER_ITEM,Read
ZPRC_REBATE_CALC,BILLING_DOC_HEADER,Read
Z_TAX_ADJUST_V2,COST_CENTER_POSTINGS,Read
Z_PRICE_OVERRIDE_V2,FM_PP_POST_1002,Call
