object_name,object_type,package,namespace,created_date,last_changed_date,developer_id
SALES_ORDER_HEADER,Table,SD_CORE,Standard,1999-04-02,2015-04-13,SAP
SALES_ORDER_ITEM,Table,SD_CORE,Standard,2001-01-31,2017-09-30,SAP
BILLING_DOC_HEADER,Table,SD_BILLING,Standard,2000-07-03,2016-07-25,SAP
DELIVERY_HEADER,Table,SD_CORE,Standard,1999-02-24,2022-08-03,SAP
FINANCIAL_DOC_HEADER,Table,FI_CORE,Standard,2004-02-12,2015-12-23,SAP
FINANCIAL_DOC_ITEM,Table,FI_CORE,Standard,2004-08-15,2019-09-25,SAP
VENDOR_MASTER,Table,MM_PURCHASING,Standard,1998-05-11,2015-05-03,SAP
CUSTOMER_MASTER,Table,SD_CORE,Standard,1999-01-19,2017-06-14,SAP
MATERIAL_MASTER,Table,MM_INVENTORY,Standard,2000-08-10,2020-08-31,SAP
PURCHASE_ORDER_HEADER,Table,MM_PURCHASING,Standard,2004-10-01,2015-04-19,SAP
STOCK_LEVELS,Table,MM_INVENTORY,Standard,2004-04-17,2017-03-25,SAP
COST_CENTER_POSTINGS,Table,CO_CONTROLLING,Standard,2004-02-11,2019-09-15,SAP
PRICING_CONDITIONS,Table,SD_CORE,Standard,2000-06-21,2020-01-14,SAP
CREDIT_LIMITS,Table,FI_AR,Standard,2004-08-10,2018-02-13,SAP
STD_ORDER_ENTRY,Program,SD_CORE,Standard,2007-07-06,2015-07-31,SAP
STD_ORDER_ENTRY_V2,Program,FI_AP,Standard,2002-02-12,2015-06-27,SAP
STD_ORDER_CHANGE,Program,FI_AP,Standard,2000-02-23,2014-01-29,SAP
STD_DELIVERY_CREATE,Program,FI_AP,Standard,2005-10-08,2017-12-06,SAP
STD_DELIVERY_CREATE_V2,Program,CO_CONTROLLING,Standard,2005-01-05,2014-10-19,SAP
STD_DELIVERY_CREATE_BATCH,Program,FI_AR,Standard,1999-11-19,2024-05-19,SAP
STD_BILLING_RUN,Program,FI_CORE,Standard,2008-04-20,2020-02-10,SAP
STD_BILLING_RUN_V2,Program,SD_BILLING,Standard,1999-07-07,2017-02-09,SAP
STD_BILLING_RUN_BATCH,Program,SD_BILLING,Standard,2008-08-04,2017-03-22,SAP
STD_INVOICE_PRINT,Program,SD_BILLING,Standard,2003-04-06,2018-03-27,SAP
STD_INVOICE_PRINT_BATCH,Program,MM_PURCHASING,Standard,2003-02-25,2019-12-20,SAP
STD_PAYMENT_RUN,Program,MM_INVENTORY,Standard,2006-07-08,2017-12-27,SAP
STD_PAYMENT_RUN_V2,Program,HR_CORE,Standard,2006-04-08,2013-08-07,SAP
STD_PAYMENT_RUN_BATCH,Program,MM_PURCHASING,Standard,2004-12-27,2017-06-28,SAP
STD_DUNNING_RUN,Program,MM_PURCHASING,Standard,2004-03-08,2020-07-05,SAP
STD_DUNNING_RUN_BATCH,Program,PP_PLANNING,Standard,2001-06-18,2019-04-10,SAP
STD_GOODS_RECEIPT,Program,SD_CORE,Standard,2001-07-27,2012-09-19,SAP
STD_GOODS_RECEIPT_V2,Program,FI_AR,Standard,2002-01-01,2013-06-26,SAP
STD_GOODS_ISSUE,Program,BASIS_TOOLS,Standard,2008-10-29,2019-01-21,SAP
STD_PO_CREATE,Program,HR_CORE,Standard,2004-02-23,2015-03-16,SAP
STD_PO_APPROVE,Program,PP_PLANNING,Standard,2005-01-16,2017-11-22,SAP
STD_PO_APPROVE_V2,Program,FI_AR,Standard,2005-07-18,2020-12-15,SAP
STD_MRP_RUN,Program,MM_PURCHASING,Standard,2004-09-18,2023-01-25,SAP
