object_name,avg_executions_per_month,distinct_users,last_executed_date
Y_AUDIT_EXTRACT,3682,30,2026-05-17
Z_MASS_UPDATE_MAT_V2,3847,116,2026-02-19
ZFM_HELPER_016,3614,60,2026-03-14
ZFM_HELPER_020,4124,68,2026-04-18
ZFI_MASS_REVERSAL,6,1,2026-05-12
ZFM_HELPER_004,2,1,2025-11-06
ZFM_HELPER_012,2053,7,2026-06-14
Z_LEGACY_MIG_03,3045,71,2026-01-27
Y_INVOICE_MATCH_V2,4231,109,2026-02-01
Z_LEGACY_MIG_04,1318,35,2026-04-26
Y_CREDIT_REPORT,2,1,2025-08-12
Z_FX_REVALUATION,1823,105,2026-04-26
Z_BONUS_CALC,1,1,2025-08-01
ZFM_HELPER_005,4117,48,2026-03-02
Z_LEGACY_MIG_01,673,48,2026-02-27
Z_WAREHOUSE_MAP_V2,816,108,2026-06-16
Z_COMPLAINT_LOG_V2,1201,18,2026-01-10
Z_STOCK_CORRECTION,3875,90,2026-02-05
Y_SHIPMENT_TRACKER,3847,58,2026-06-07
Z_WAREHOUSE_MAP,654,3,2026-03-07
Z_VENDOR_SCORECARD,1229,71,2026-06-05
Z_LEGACY_MIG_05,915,100,2026-03-15
ZFM_HELPER_015,1003,7,2026-03-03
Z_LEGACY_MIG_11,3749,9,2026-01-29
Z_MASS_UPDATE_MAT,4099,77,2026-05-18
ZFM_HELPER_019,4226,74,2026-03-03
ZFM_HELPER_018,2391,55,2026-01-01
ZFM_HELPER_006,1975,74,2026-04-17
Z_EDI_MAP_CUST01_V2,706,68,2026-04-03
ZSD_ORDER_UNBLOCK,118,2,2026-06-30
Z_TRUCK_PLANNING,4314,70,2026-05-10
Z_DISCOUNT_ENGINE,4163,71,2026-01-06
Z_DELIVERY_SPLIT,3856,6,2026-06-12
ZFM_HELPER_011,3063,33,2026-01-05
Z_LEGACY_MIG_07,558,45,2026-03-03
Z_RETURNS_HANDLER,854,99,2026-05-29
Z_PICKLIST_OPT_V2,2728,18,2026-01-12
Z_PICKLIST_OPT,2778,105,2026-06-14
Y_INVOICE_MATCH,3811,90,2026-05-03
ZFM_HELPER_013,1109,9,2026-04-28
ZFM_HELPER_001,1656,6,2026-02-21
ZFM_HELPER_002,3,1,2025-06-08
ZFI_CUSTOM_POST,4453,61,2026-03-06
ZMM_STOCK_SYNC,1570,37,2026-04-02
Y_DATA_CLEANSER,1,1,2025-12-02
Z_MARGIN_CALC,1024,103,2026-04-05
Z_PAYMENT_PROPOSAL,3281,96,2026-04-23
ZFM_HELPER_017,4,1,2025-06-23
Z_LABEL_PRINT,4,1,2025-12-21
ZMM_STOCK_HELPER,4258,35,2026-01-22
Z_SEASONAL_PRICING,651,56,2026-06-04
Y_EDI_MAP_CUST02,2,1,2025-10-07
Z_DELIVERY_SPLIT_V2,845,11,2026-03-25
Z_VENDOR_SCORECARD_V2,2515,58,2026-06-04
Y_SHIPMENT_TRACKER_V2,0,0,
Z_EDI_MAP_CUST01,0,0,
ZFM_HELPER_010,0,0,
Z_REBATE_REPORT,0,0,
Z_ORDER_VALIDATE,0,0,
Z_LEGACY_MIG_02,0,0,
Z_PRICE_OVERRIDE,0,0,
ZFM_HELPER_009,0,0,
ZFM_HELPER_008,0,0,
Z_PLANT_REPORT,0,0,
Y_MONTH_END_HELPER,0,0,
Z_TAX_ADJUST,0,0,
ZFM_HELPER_014,0,0,
Z_LEGACY_MIG_10,0,0,
Z_INTERFACE_MONITOR,0,0,
Zsd_Invoice_Check,0,0,
Z_LEGACY_MIG_09,0,0,
STD_TRANSPORT_TOOL_V2,12066,412,2026-05-26
STD_GL_POSTING,1261,639,2026-02-09
STD_INVOICE_PRINT_BATCH,22451,480,2026-04-05
STD_GL_POSTING_V2,12390,474,2026-01-20
STD_MRP_RUN,19006,160,2026-05-16
STD_USER_ADMIN_BATCH,12224,427,2026-03-22
STD_ORDER_CHANGE,21484,305,2026-03-05
STD_USER_ADMIN,3917,46,2026-02-17
STD_IDOC_PROCESSOR,16552,550,2026-04-10
STD_GOODS_RECEIPT_V2,18604,140,2026-03-09
STD_DELIVERY_CREATE,8729,740,2026-04-25
STD_DELIVERY_CREATE_V2,7231,646,2026-03-15
STD_COST_ALLOCATION,22940,522,2026-02-21
STD_STOCK_OVERVIEW,4218,158,2026-01-19
STD_AVAILABILITY_CHECK,15012,196,2026-04-24
STD_TRANSPORT_TOOL,3076,849,2026-06-24
STD_CREDIT_CHECK_V2,10672,703,2026-03-30
STD_ORDER_ENTRY,23450,86,2026-05-21
STD_OUTPUT_CONTROL,17965,317,2026-03-18
STD_BATCH_SCHEDULER_BATCH,5361,748,2026-06-29
STD_PO_CREATE,21096,198,2026-04-03
STD_PO_APPROVE_V2,16870,249,2026-02-01
STD_DUNNING_RUN,6785,831,2026-02-05
STD_ORDER_ENTRY_V2,7957,829,2026-05-07
STD_ARCHIVE_RUN_BATCH,1061,389,2026-05-22
STD_ARCHIVE_RUN_V2,18952,397,2026-04-30
STD_BILLING_RUN_V2,18276,152,2026-06-06
STD_PAYMENT_RUN,3025,87,2026-03-21
FM_SD_CHECK_1101,9423,218,2026-06-08
FM_BC_GET_1183,10519,20,2026-05-08
FM_SD_GET_1184,10325,284,2026-03-16
FM_FI_SET_1122,10567,159,2026-05-04
FM_BC_GET_1134,4062,355,2026-04-14
FM_BC_READ_1105,4923,237,2026-01-19
FM_BC_POST_1104,11332,35,2026-02-10
FM_FI_GET_1147,7252,217,2026-05-04
FM_SD_READ_1018,7659,109,2026-03-29
FM_FI_GET_1032,9989,78,2026-03-22
FM_SD_CHECK_1081,11819,168,2026-03-30
FM_BC_CHECK_1164,6582,71,2026-04-05
FM_BC_GET_1190,8487,292,2026-01-28
FM_BC_SET_1115,5278,128,2026-04-30
FM_SD_CALC_1119,2057,141,2026-04-26
FM_CO_CALC_1174,4111,77,2026-01-25
FM_CO_POST_1132,879,153,2026-04-09
FM_SD_CHECK_1088,10132,219,2026-03-05
FM_CO_CALC_1189,2666,172,2026-05-28
FM_PP_SET_1141,11864,165,2026-02-18
FM_SD_POST_1163,2660,260,2026-05-12
FM_CO_CHECK_1150,7698,260,2026-03-20
FM_FI_CHECK_1046,8198,16,2026-01-24
FM_SD_GET_1033,6492,263,2026-04-28
FM_MM_CHECK_1110,3994,115,2026-05-30
FM_SD_POST_1128,5831,29,2026-01-13
FM_MM_CHECK_1014,4659,258,2026-06-02
FM_BC_CALC_1031,10769,349,2026-05-01
FM_BC_GET_1182,4731,279,2026-01-03
FM_SD_CHECK_1039,1811,225,2026-02-04
FM_MM_SET_1077,4383,377,2026-04-04
FM_BC_CALC_1042,6656,192,2026-01-12
FM_CO_GET_1041,6613,31,2026-05-26
FM_PP_CALC_1082,9254,104,2026-04-03
FM_CO_CALC_1057,9114,152,2026-01-19
FM_SD_SET_1181,6379,263,2026-04-26
FM_PP_POST_1170,9058,148,2026-06-09
FM_PP_POST_1072,11197,317,2026-01-31
FM_SD_POST_1020,2158,54,2026-04-11
FM_MM_GET_1064,6164,178,2026-05-23
FM_CO_READ_1050,6040,391,2026-02-06
FM_SD_CHECK_1179,3311,313,2026-05-11
FM_MM_POST_1070,6626,261,2026-01-11
FM_FI_CALC_1180,792,24,2026-02-05
FM_FI_GET_1168,11741,175,2026-05-02
FM_PP_GET_1136,8558,238,2026-02-08
FM_FI_GET_1023,9982,268,2026-02-05
FM_CO_GET_1173,5423,318,2026-03-23
FM_BC_GET_1043,2712,206,2026-06-07
FM_PP_GET_1148,4952,308,2026-03-28
FM_PP_CALC_1169,8361,265,2026-05-17
FM_BC_SET_1177,8075,367,2026-05-25
FM_CO_READ_1086,4961,248,2026-01-05
FM_SD_POST_1144,6085,174,2026-06-22
FM_MM_SET_1010,1845,218,2026-05-30
FM_CO_SET_1007,5090,376,2026-06-26
FM_BC_POST_1160,10359,18,2026-06-02
FM_MM_POST_1011,7825,140,2026-06-17
FM_MM_SET_1067,9527,300,2026-02-28
FM_CO_GET_1053,11869,31,2026-05-30
ZPRC_REBATE_CALC,3860,74,2026-07-18
